epoch,train_loss,train_miou,val_loss,val_miou
1,2.257455,0.309215,1.290199,0.145883
2,1.923627,0.374676,0.841224,0.274077
3,1.86846,0.390385,0.676363,0.380038
4,1.822862,0.404915,0.666787,0.391548
5,1.790048,0.41504,0.684486,0.409076
6,1.768697,0.421284,0.634557,0.39302
7,1.731601,0.432717,0.670529,0.418797
8,1.713823,0.436301,0.651666,0.424752
9,1.702833,0.441496,0.695042,0.435968
10,1.683899,0.447403,0.671232,0.431707
11,1.665362,0.454112,0.666734,0.425448
12,1.66243,0.45483,0.68188,0.441837
13,1.62648,0.464703,0.696684,0.422609
14,1.622772,0.467191,0.716713,0.430606
15,1.608608,0.470401,0.71124,0.43948
16,1.602322,0.47309,0.727813,0.437465
17,1.589734,0.477133,0.669326,0.434996
18,1.573913,0.480285,0.676972,0.43491
19,1.564223,0.484095,0.72039,0.437888
20,1.559409,0.485646,0.673153,0.429839
21,1.54593,0.488419,0.716216,0.444452
22,1.54763,0.49055,0.697549,0.453378
23,1.533157,0.492799,0.698397,0.453253
24,1.523309,0.495396,0.747405,0.448738
25,1.526277,0.496594,0.758536,0.43637
26,1.508669,0.501432,0.714895,0.445369
27,1.510515,0.500244,0.689066,0.444952
28,1.505408,0.502525,0.775904,0.447368
29,1.505661,0.50344,0.786305,0.446251
30,1.491402,0.505756,0.767215,0.454366
31,1.483688,0.508738,0.701375,0.432301
32,1.473549,0.511018,0.752824,0.455135
33,1.466011,0.513029,0.754247,0.455788
34,1.468076,0.513924,0.765861,0.456246
35,1.46528,0.514181,0.732171,0.443144
36,1.460955,0.516115,0.741606,0.45485
37,1.446733,0.518843,0.773629,0.458413
38,1.450362,0.519347,0.784913,0.451982
39,1.440573,0.521467,0.844168,0.460292
40,1.442997,0.521148,0.750818,0.454683
41,1.42576,0.524888,0.785268,0.457344
42,1.431551,0.524472,0.762139,0.459735
43,1.426594,0.526255,0.748176,0.448689
44,1.424063,0.526594,0.744008,0.452726
45,1.417287,0.528578,0.749106,0.46065
46,1.410055,0.531463,0.803667,0.454113
47,1.408087,0.531445,0.789329,0.459029
48,1.411594,0.531442,0.766525,0.458797
49,1.405228,0.532472,0.794192,0.455646
50,1.402737,0.533961,0.750511,0.452509
51,1.396567,0.535466,0.768879,0.459333
52,1.393309,0.535691,0.765423,0.457556
53,1.386304,0.538377,0.84595,0.463469
54,1.385703,0.537437,0.83562,0.463064
55,1.380595,0.540501,0.772931,0.457414
56,1.374391,0.541211,0.874805,0.468271
57,1.372706,0.542512,0.877507,0.462682
58,1.374848,0.543086,0.820465,0.457025
59,1.376219,0.541404,0.908901,0.46753
60,1.365781,0.544795,0.848822,0.46533
61,1.361944,0.545009,0.790987,0.456588
62,1.360523,0.544625,0.783299,0.461988
63,1.358362,0.546464,0.871408,0.461428
64,1.360553,0.545486,0.809904,0.466522
65,1.355538,0.54688,0.899526,0.466218
66,1.35534,0.547435,0.860168,0.466689
67,1.345644,0.550523,0.813038,0.464026
68,1.349439,0.548346,0.844217,0.460157
69,1.347563,0.549422,0.830535,0.457646
70,1.34408,0.550714,0.86559,0.469525
71,1.344885,0.551417,0.82276,0.462726
72,1.339178,0.551335,0.889668,0.467524
73,1.341341,0.551072,0.91521,0.466035
74,1.336447,0.553181,0.901052,0.463527
75,1.335747,0.552602,0.888356,0.458686
76,1.335711,0.553635,0.914152,0.45943
77,1.333588,0.55308,0.870313,0.46375
78,1.333457,0.554242,0.862303,0.464209
79,1.331938,0.553952,0.929328,0.468239
80,1.329074,0.555211,0.862927,0.455788
81,1.332354,0.555032,0.888378,0.465231
82,1.32469,0.556099,0.913733,0.464017
83,1.324131,0.557067,0.93478,0.466585
84,1.325423,0.555993,0.868284,0.458085
85,1.32842,0.555749,0.91268,0.464604
86,1.329781,0.555426,0.871354,0.460242
