epoch,train_loss,train_miou,val_loss,val_miou
1,2.739939,0.158947,0.990454,0.139432
2,2.636467,0.175618,1.102079,0.148189
3,2.525431,0.198501,0.991491,0.167375
4,2.441797,0.211896,1.069635,0.169143
5,2.367224,0.222764,1.120724,0.16789
6,2.296503,0.23498,1.133736,0.174889
7,2.226341,0.244239,1.137992,0.180911
8,2.177617,0.247513,1.13737,0.18545
9,2.126646,0.247906,1.139852,0.189011
10,2.063785,0.259245,1.148632,0.191579
11,2.016535,0.266087,1.159165,0.192436
12,1.98148,0.26472,1.179948,0.19175
13,1.951782,0.267843,1.202599,0.189242
14,1.905204,0.275277,1.22183,0.186925
15,1.865632,0.278934,1.243343,0.185349
16,1.819373,0.28841,1.273203,0.180794
17,1.813373,0.286054,1.33816,0.172576
18,1.751858,0.300971,1.391191,0.16753
19,1.790476,0.283504,1.462933,0.167727
20,1.728918,0.299826,1.480396,0.174579
21,1.690119,0.306192,1.484565,0.17958
22,1.702545,0.300221,1.511445,0.182439
23,1.658613,0.309224,1.528344,0.181847
24,1.672414,0.310222,1.555677,0.176305
25,1.637579,0.320838,1.606607,0.169264
26,1.637113,0.317327,1.677343,0.169387
27,1.614356,0.319855,1.780599,0.177258
28,1.598166,0.32183,1.850659,0.179531
